O:
[[ 7 13  5]
 [ 1  1  1]]
A:
[[2 1 0]
 [0 1 2]]
al: 0.0001
max_iter: 100000
gradient_eps 1e-09
t: 5000 ts: 100000
(861, 3)
[ 0.26240268  0.04179693] , [ 0.025  0.025  0.95 ] , 4.04068599226e-16 , True
[ 0.51813714  0.24139971] , [ 0.025  0.05   0.925] , 4.04111692234e-17 , True
[ 0.46633373  0.82029321] , [ 0.025  0.075  0.9  ] , -7.9405526921e-17 , True
[ 0.57178945  0.02552328] , [ 0.025  0.1    0.875] , -5.64482728898e-17 , True
[ 0.09518211  0.53149688] , [ 0.025  0.125  0.85 ] , -3.59122256474e-17 , True
[ 0.66219715  0.04864016] , [ 0.025  0.15   0.825] , 6.17884009093e-19 , True
[ 0.09136989  0.12866906] , [ 0.025  0.175  0.8  ] , 8.01501846393e-17 , True
[ 0.47401338  0.28079549] , [ 0.025  0.2    0.775] , -2.52551616417e-17 , True
[ 0.23380058  0.0777058 ] , [ 0.025  0.225  0.75 ] , 2.7229863809e-17 , True
[ 0.82749582  0.02422282] , [ 0.025  0.25   0.725] , 1.94176825915e-17 , True
[ 0.5179733   0.42264793] , [ 0.025  0.275  0.7  ] , 1.34911684039e-17 , True
[ 0.07770261  0.2379219 ] , [ 0.025  0.3    0.675] , -8.87921392478e-18 , True
[ 0.99646178  0.31651229] , [ 0.025  0.325  0.65 ] , -2.05468674214e-17 , True
[ 0.76241302  0.28030812] , [ 0.025  0.35   0.625] , 1.68403767044e-17 , True
[ 0.73501113  0.86765523] , [ 0.025  0.375  0.6  ] , 1.61738084007e-17 , True
[ 0.98760287  0.26521351] , [ 0.025  0.4    0.575] , 2.4398325406e-17 , True
[ 0.9084157   0.79853984] , [ 0.025  0.425  0.55 ] , -1.01877290982e-18 , True
[ 0.02840268  0.53173583] , [ 0.025  0.45   0.525] , 0.00153215229695 , True
[ 0.08893832  0.06144727] , [ 0.025  0.475  0.5  ] , 0.00688485106783 , True
[ 0.09480165  0.56910336] , [ 0.025  0.5    0.475] , 0.0159336487295 , True
[ 0.93672764  0.2954379 ] , [ 0.025  0.525  0.45 ] , 0.0285674642219 , True
[ 0.4818477  0.58579  ] , [ 0.025  0.55   0.425] , 0.0447105205017 , True
