O:
[[ 7 10  2]
 [ 1  1  1]]
A:
[[2 1 0]
 [0 1 2]]
al: 0.0001
max_iter: 90000
t: 5000 ts: 100000
[ 0.65422403  0.71602448] , [ 0.01  0.01  0.98] , 1.96159010089e-08 , -2.27194164756e-17
[ 0.69893569  0.31894015] , [ 0.01  0.02  0.97] , 1.76770670477e-14 , 8.60724634535e-17
[ 0.50337666  0.5161306 ] , [ 0.01  0.03  0.96] , -9.79413886879e-18 , 2.02878352451e-17
[ 0.98230154  0.94631073] , [ 0.01  0.04  0.95] , -3.7026391096e-17 , -8.93999567706e-17
[ 0.4861206   0.28593038] , [ 0.01  0.05  0.94] , 3.21068801702e-16 , -5.47291703469e-17
[ 0.08121124  0.2771968 ] , [ 0.01  0.06  0.93] , -9.19414377022e-17 , -3.17863158065e-17
[ 0.81120079  0.95473273] , [ 0.01  0.07  0.92] , -9.00853434273e-17 , 7.63200313827e-17
[ 0.29599265  0.09557828] , [ 0.01  0.08  0.91] , 4.04733606427e-17 , -9.41649499243e-17
[ 0.67047694  0.91228974] , [ 0.01  0.09  0.9 ] , -7.15502819758e-18 , -2.93958808703e-17
[ 0.05659353  0.56302334] , [ 0.01  0.1   0.89] , -1.12924559136e-17 , 6.06676510681e-17
[ 0.10995338  0.68153952] , [ 0.01  0.11  0.88] , 2.24271970665e-17 , -3.73286106992e-18
[ 0.88874128  0.15769196] , [ 0.01  0.12  0.87] , -6.45244090268e-17 , -8.02160031079e-17
[ 0.55948627  0.20700141] , [ 0.01  0.13  0.86] , 1.5264949352e-17 , 9.69326027831e-17
[ 0.59412864  0.6270697 ] , [ 0.01  0.14  0.85] , 3.13181560445e-17 , -8.88418302308e-17
[ 0.83260124  0.21935536] , [ 0.01  0.15  0.84] , -3.65222312832e-17 , 9.3152436435e-17
[ 0.30542019  0.21580372] , [ 0.01  0.16  0.83] , 1.39667513144e-17 , -8.10993482932e-17
[ 0.11977331  0.05823673] , [ 0.01  0.17  0.82] , -9.01703514053e-19 , 7.82683707654e-18
[ 0.88203927  0.38083666] , [ 0.01  0.18  0.81] , 1.72151050191e-17 , -3.00532595693e-17
[ 0.56346399  0.1339317 ] , [ 0.01  0.19  0.8 ] , 2.33599130267e-17 , 3.44391641739e-17
[ 0.45967678  0.37539745] , [ 0.01  0.2   0.79] , 1.22634788391e-17 , 6.84673093878e-17
[ 0.67612993  0.26839653] , [ 0.01  0.21  0.78] , 9.67403002534e-18 , -7.29493045392e-17
[ 0.79714074  0.25357596] , [ 0.01  0.22  0.77] , -1.59375320399e-17 , 6.26523706722e-17
[ 0.69005148  0.05777454] , [ 0.01  0.23  0.76] , 4.50224979856e-17 , -4.85918936584e-17
[ 0.81164135  0.65475463] , [ 0.01  0.24  0.75] , 3.11716422285e-19 , 5.1537843636e-17
[ 0.09091118  0.29482774] , [ 0.01  0.25  0.74] , -2.91731100271e-17 , -6.91819623767e-17
